sentence,word_labels,rule_attribute,missing_words,attr_words
Uzhavoor has an average elevation of 4 metres from the sea level,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,B-attr,I-attr,I-attr",average elevation from the sea level, <EOS>,"['average', 'elevation', 'the', 'sea', 'level']"
The state of Bavaria paid an additional 40 DM to visitors from the GDR,"O,B-ent,I-ent,I-ent,B-attr,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr",amount paid ro visitors from the GDR,amount ro <EOS>,"['paid', 'to', 'visitors', 'from', 'the', 'GDR']"
High - power models have demonstrated up to 5.4 N in the laboratory,"B-ent,I-ent,I-ent,I-ent,O,B-attr,O,O,B-qty,I-qty,O,O,O",demonstrated force,force <EOS>,['demonstrated']
Kheri Naru sun rise time varies 22 minutes from IST,"B-ent,I-ent,I-ent,O,O,B-attr,B-qty,I-qty,O,O",sun rise time varies, <EOS>,['varies']
""" Kaijiangosaurus "" had a length of about five metres","O,B-ent,O,O,O,B-attr,O,O,B-qty,I-qty",length, <EOS>,['length']
MicroVentures accepts less than 0.5 % of companies who apply for listing on the platform,"B-ent,B-attr,O,O,B-qty,I-qty,O,B-attr,O,O,O,O,O,O,O",accepts  companies, <EOS>,"['accepts', 'companies']"
"Between Uster and Rafz , trains run every 30 minutes throughout the day","O,O,O,O,O,B-ent,B-attr,O,B-qty,I-qty,O,O,O",duration run,duration <EOS>,['run']
The journey time from Uster to Schaffhausen takes 82 minutes,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty",journey time takes, <EOS>,"['journey', 'time', 'takes']"
Uster has an unemployment rate of 3.28 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"Kessab is an ancient Armenian town , over 1000 years old","B-ent,O,O,O,O,O,O,O,B-qty,I-qty,O",age,age <EOS>,[]
Koenigsegg uses 3 D printing technologies to manufacture many parts of the Regera,"B-ent,B-attr,B-qty,O,O,B-attr,O,O,O,O,O,O,O",uses technologies, <EOS>,"['uses', 'technologies']"
The ownership stake for Stora Enso was 35 percent,"O,B-attr,I-attr,O,B-ent,I-ent,O,B-qty,I-qty",ownership stake, <EOS>,"['ownership', 'stake']"
Rabwah covers an area of about 24 km ( 9.3 sq mi ),"B-ent,O,O,B-attr,O,O,B-qty,I-qty,O,O,O,O,O",area, <EOS>,['area']
"When Sarah Jarosz was nine years old , she met Sara Watkins at a festival","O,B-ent,I-ent,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O",age,age <EOS>,[]
The Mela lasts for four days,"O,B-ent,B-attr,O,B-qty,I-qty",duration lasts,duration <EOS>,['lasts']
The mela lasts for the next five days,"O,B-ent,B-attr,O,O,O,B-qty,I-qty",duration lasts,duration <EOS>,['lasts']
The trip from London to Port Jackson took five months,"O,B-attr,O,B-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty",trip took, <EOS>,"['trip', 'took']"
The estrous cycle for a Whiptail wallaby lasts for only 42 days,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,B-attr,O,O,B-qty,I-qty",estrous cycle lasts, <EOS>,"['estrous', 'cycle', 'lasts']"
Today Doordarshan Kohima covers an area of 78.2 % and population of 89.4 %,"O,B-ent,I-ent,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",population, <EOS>,['population']
Vinod Kinariwala was 18 years old at the time,"B-ent,I-ent,O,B-qty,I-qty,O,O,O,O",age,age <EOS>,[]
"Nicholas Stergiou # cite ref - 2 "" Ruggles , Rick","B-ent,I-ent,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
"The main prize , the Crossing Europe Award , is endowed with €10.000","O,B-ent,I-ent,O,O,O,O,O,O,O,B-attr,O,B-qty",amount endowed,amount <EOS>,['endowed']
William inherited his father Robert Baldwin Sr 's 200 acre estate in 1817,"B-ent,B-attr,O,O,O,O,O,O,B-qty,I-qty,B-attr,O,O",inherited estate, <EOS>,"['inherited', 'estate']"
The Baton - Electrohome alliance now held 57.2 % of CTV,"O,B-ent,O,I-ent,I-ent,O,B-attr,B-qty,I-qty,B-attr,I-attr",held CTV share,share <EOS>,"['held', 'of', 'CTV']"
The town of Kléla is 43 km north of Sikasso,"O,O,O,B-ent,O,B-qty,I-qty,I-attr,I-attr,I-attr",distance north of Sikasso,distance <EOS>,"['north', 'of', 'Sikasso']"
"Becky Bain of Idolator noted that the two "" have melancholia perfected ""","B-ent,I-ent,O,O,B-attr,O,O,B-qty,I-qty,O,O,O,I-qty",idolator noted,idolator <EOS>,['noted']
The M5 cans were for packing .45 ACP ammo and weighed about 29 lbs,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",weighed, <EOS>,['weighed']
Wakulla Springs has up to 9 miles of hiking trails running through it,"B-ent,I-ent,O,O,O,B-qty,I-qty,O,O,B-attr,O,O,O",trails length,length <EOS>,['trails']
"The adults of "" Binodoxys communis "" are approximately 1.2 mm in length","O,B-attr,O,B-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,I-attr",adults length, <EOS>,"['adults', 'length']"
"The daily milk production of Tibasosa was 22,000 liters in February 2016","O,B-attr,I-attr,I-attr,O,B-ent,O,O,B-qty,O,O,O",daily milk production, <EOS>,"['daily', 'milk', 'production']"
"Her mother , Princess Ōta , died when Princess Ōku was seven years old","O,O,O,B-ent,O,O,O,O,I-ent,I-ent,O,B-qty,I-qty,O",age,age <EOS>,[]
The NCR Corporation cash register rang up 67 cents,"O,B-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty",amount,amount <EOS>,[]
Crawford Central School District 's rate was 84 % for 2010,"B-ent,I-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O",rate, <EOS>,['rate']
Crawford Central School District encompasses approximately 156 square miles,"B-ent,I-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,I-qty",encompasses area,area <EOS>,['encompasses']
Kid McCoy was only nine years old when this was published,"B-ent,I-ent,O,O,B-qty,I-qty,O,O,O,O,O",age,age <EOS>,[]
The Informal sector comprises 75 % of non-agricultural employment in Africa,"O,B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,B-attr,I-attr,I-attr",comprises non - agricultural employment in Africa,non - agricultural <EOS>,"['comprises', 'non-agricultural', 'employment', 'in', 'Africa']"
The siege of Baghdad took more than 40 days,"O,B-attr,O,B-ent,B-attr,O,O,B-qty,I-qty",siege took, <EOS>,"['siege', 'took']"
The Russell Group institutions received 82 % of the total HEFCE research funding allocation,"O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,O,B-attr,I-attr,I-attr,I-attr,I-attr", total HEFCE research funding allocation received, <EOS>,"['received', 'total', 'HEFCE', 'research', 'funding', 'allocation']"
""" Trypanosoma brucei gambiense "" causes 97 % of human cases of sleeping sickness","O,B-ent,I-ent,I-ent,O,B-attr,B-qty,I-qty,O,B-attr,I-attr,O,O,O",human cases causes, <EOS>,"['causes', 'human', 'cases']"
The average temperature in Gothenburg was −6.2 °C,"O,B-attr,I-attr,O,B-ent,O,O,O",average temperature, <EOS>,"['average', 'temperature']"
The distance to central Gothenburg is about 47 kilometers,"O,B-attr,O,B-ent,I-ent,O,O,B-qty,I-qty",distance, <EOS>,['distance']
Travel time from Gothenburg to Copenhagen was 3 hours and 30 minutes,"B-attr,I-attr,O,B-ent,I-ent,I-ent,O,O,O,O,B-qty,I-qty",travel time,travel <EOS>,"['Travel', 'time']"
Travel time from Oslo to Gothenburg was slightly more than four hours,"B-attr,I-attr,O,B-ent,I-ent,I-ent,O,O,O,O,B-qty,I-qty",travel time,travel <EOS>,"['Travel', 'time']"
Großbettlingen is about 5 km from Nürtingen,"B-ent,O,O,B-qty,I-qty,B-attr,I-attr",distance from Nürtingen,distance <EOS>,"['from', 'Nürtingen']"
Sam the Minuteman from the University of Massachusetts Amherst claimed the 1 st place prize,"O,O,O,O,O,O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,B-attr,I-attr",claimed place prize, <EOS>,"['claimed', 'place', 'prize']"
Charles II of England contributed £350,"B-ent,I-ent,O,O,B-attr,B-qty",amount contributed,amount <EOS>,['contributed']
"Charles II of England donated 1,000 tons of timber from Salcey Forest for the re-building","O,O,O,B-ent,B-attr,B-qty,I-qty,O,B-attr,O,O,O,O,O,O",donated timber, <EOS>,"['donated', 'timber']"
"Morelos is Mexico 's major producers of roses , producing 54,552 dozens in 2002","O,O,O,O,B-ent,I-ent,O,B-attr,O,I-attr,B-qty,I-qty,O,O",roses producing weighs,weighs <EOS>,"['roses', 'producing']"
The distance from Adelaide to Petersburg ( now Peterborough ) is 150 miles,"O,B-attr,O,B-ent,I-ent,I-ent,O,O,O,O,O,B-qty,I-qty",distance, <EOS>,['distance']
The SysAD bus is 64 bits wide and can operate at 100 MHz,"O,B-ent,I-ent,O,B-qty,I-qty,B-attr,O,O,O,O,O,O",size,size <EOS>,['wide']
From Vienna Bertrandon took six days to arrive at Linz,"O,B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr",time to arrive at Linz,time <EOS>,"['took', 'arrive', 'at', 'Linz']"
The centre of Vienna can be reached in 13 minutes via the subway,"O,B-attr,O,B-ent,O,O,B-attr,O,B-qty,I-qty,B-attr,I-attr,I-attr",centre reached via the subway, <EOS>,"['centre', 'reached', 'via', 'the', 'subway']"
The institute in Vienna opened two years before the Institute du Radium in Paris,"O,B-attr,O,B-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O",institute opened, <EOS>,"['institute', 'opened']"
The overall travel time from Vienna to Budapest was reduced to just three hours,"O,B-attr,I-attr,I-attr,O,B-ent,I-ent,I-ent,O,B-attr,B-ent,O,B-qty,I-qty",overall travel time reduced, <EOS>,"['overall', 'travel', 'time', 'reduced']"
The process of carrying the Weeping Icon to Vienna lasted for five months,"O,B-attr,O,O,O,B-ent,I-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty",process lasted, <EOS>,"['process', 'lasted']"
Aristoc is a British hosiery brand that is over 80 years old,"O,O,O,B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,O",age,age <EOS>,[]
"The bulb of "" Fritillaria uva - vulpis "" is 3 cm in diameter","O,B-ent,O,O,B-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,B-attr",diameter, <EOS>,['diameter']
The Tezpur Airport at Salonibari is about 15 km away from the Institute,"O,B-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,I-attr",distance from the Institute,distance <EOS>,"['from', 'the', 'Institute']"
"The nearest airport is Tezpur Airport , about 120 km away","O,B-ent,I-ent,O,I-ent,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
The majority of Potter County districts received a 2 % increase,"O,O,O,B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,I-attr",received increase, <EOS>,"['received', 'increase']"
Powerade Option took 36 % of the Fitness Water category behind Propel 's 42 %,"B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,O,O,O,O,B-qty",took the Fitness Water category, <EOS>,"['took', 'the', 'Fitness', 'Water', 'category']"
"The space MMO "" Vendetta Online "" also features 6 degrees of freedom","O,B-ent,O,O,O,O,O,O,B-attr,B-qty,I-qty,O,B-attr",degrees of freedom, <EOS>,"['features', 'freedom']"
Nearest airport is Nanded 110 km and Nagpur 270 km,"B-ent,I-ent,O,B-ent,B-qty,I-qty,O,O,O,O",distance,distance <EOS>,[]
B. J. Askew rushed for 80 yards and two touchdowns,"B-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O",rushed yards, <EOS>,['rushed']
Bangor Area School District 's rate was 89 % for 2010,"B-ent,I-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O",rate, <EOS>,['rate']
Gunzwil had an unemployment rate of 0.86 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"After the listing , Braganza retained 69 % of the company","O,O,O,O,B-ent,B-attr,B-qty,I-qty,O,O,B-attr",company retained, <EOS>,"['retained', 'company']"
"By Christmas , Sega held 31 percent of the North American video game market","O,O,O,B-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",held  the North American video game market, <EOS>,"['held', 'the', 'North', 'American', 'video', 'game', 'market']"
"By Christmas , Sega held 31 percent of the North American video game marketshare","O,O,O,B-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",held  the North American video game marketshare, <EOS>,"['held', 'the', 'North', 'American', 'video', 'game', 'marketshare']"
Innocent XIII held two Papal consistory in which he named three cardinals,"B-ent,I-ent,B-attr,B-qty,I-qty,B-attr,O,O,O,O,O,O",held consistory, <EOS>,"['held', 'consistory']"
", Ferden had an unemployment rate of 0.8 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
A typical drive to downtown Salt Lake City is 45 to 60 minutes,"O,B-attr,I-attr,B-qty,B-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty,I-qty,I-qty",typical drive time,time <EOS>,"['typical', 'drive']"
4Music began its broadcast with an on - screen countdown which lasted for ten minutes,"O,O,O,O,O,O,O,O,B-ent,O,O,B-attr,O,B-qty,I-qty",duration lasted,duration <EOS>,['lasted']
Maschwanden has an unemployment rate of 0.36 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"Gaafar Nimeiry was the only candidate , and received 99.6 % of the vote","B-ent,O,O,O,O,O,O,O,B-attr,B-qty,I-qty,O,B-attr,I-attr",received  the vote, <EOS>,"['received', 'the', 'vote']"
David Thompson did a 360 degree dunk to finish his routine,"B-ent,I-ent,O,O,B-qty,I-qty,B-attr,O,O,O,O",dunk degree, <EOS>,['dunk']
The water surface ( epilimnion ) can reach up to 25 °C in summer,"O,B-ent,I-ent,O,O,O,O,B-attr,O,O,B-qty,I-qty,O,O",temperature reach,temperature <EOS>,['reach']
", Korite has mined over 100 acres of ammolite deposits","O,B-ent,O,B-attr,O,B-qty,I-qty,O,B-attr,I-attr",mined ammolite deposits area,area <EOS>,"['mined', 'ammolite', 'deposits']"
"The next thrower , world leader Daniel Ståhl went better throwing 69.19 metres","O,B-ent,I-ent,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length throwing,length <EOS>,['throwing']
Katy Ginger from DLESE has published an XML Schema Document for validating OPML 2.0,"B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
"Eventually , the presidential term was reduced to five years after the 2002 election","O,O,O,B-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O,O,O",duration reduced,duration <EOS>,['reduced']
Gyümai has an altitude of 3970 m,"B-ent,O,O,B-attr,O,B-qty,I-qty",altitude, <EOS>,['altitude']
"And to the south , the city of Taichung is only 60 minutes away","O,O,O,O,O,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
"Historically , however , Guan Lu was only around eight years old in 217","O,O,O,O,B-ent,I-ent,O,O,O,B-qty,I-qty,O,O,O",age,age <EOS>,[]
Józef Szmidt set a new Olympic record with 16.85 metres,"B-ent,I-ent,B-attr,O,I-attr,O,I-attr,O,B-qty,I-qty",set new olympic record,olympic <EOS>,"['set', 'new', 'record']"
"The Karl Jaspers Prize is endowed with 5,000 euros","O,B-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty",amount endowed,amount <EOS>,['endowed']
The Ossoli Circle currently supports over two dozen organizations and projects,"B-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O,B-attr",supports projects, <EOS>,"['supports', 'projects']"
Marčana is over 3000 years old,"B-ent,O,O,B-qty,I-qty,O",age,age <EOS>,[]
"If inoculum is not added , fermentation could take up to 7 days","O,O,O,O,O,O,B-ent,O,B-attr,O,O,B-qty,I-qty",duration take,duration <EOS>,['take']
The typical lifespan of a Scottish Fold is 15 years,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",typical lifespan, <EOS>,"['typical', 'lifespan']"
The elevation in Bengou is 571 ft ( 174 m ),"O,B-attr,O,B-ent,O,B-qty,I-qty,O,O,O,O",elevation, <EOS>,['elevation']
Ennetmoos has an unemployment rate of 0.85 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Travel time from Komsomolsk - on - Amur to Sovetskaya Gavan is 13 hours,"O,B-attr,O,O,O,O,O,B-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty",travel time,travel <EOS>,['time']
Pittsburgh International Airport is less than 30 miles away,"B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
The maximum wage remained for more than another half century,"O,B-ent,I-ent,B-attr,O,O,O,O,B-qty,I-qty",duration remained maximum wage,duration <EOS>,['remained']
The main product of Sketchfab is a 3 D and VR model viewer,"O,O,O,O,B-ent,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
Euclid 's end dumps reached 210 tons in capacity in the 1980 s,"B-ent,I-ent,B-attr,I-attr,I-attr,B-qty,I-qty,O,O,O,O,O,O",end dumps weigh,weigh <EOS>,"['end', 'dumps', 'reached']"
The distance to the district center Artie is 40 km,"O,B-attr,O,O,O,O,B-ent,O,B-qty,I-qty",distance, <EOS>,['distance']
"Dadyal is 70 km away from Rawalpindi and Islamabad , and 55 km from Kotli","B-ent,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,O,O,O,O,O,O",distance from Rawalpindi and Islamabad,distance <EOS>,"['from', 'Rawalpindi', 'and', 'Islamabad']"
"Fertagus has a single line extending 54 kilometers , serving 14 stations","O,O,O,B-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O",length extending,length <EOS>,['extending']
Zuidbarge has an altitude of 18 meters ( 62 feet ),"B-ent,O,O,B-attr,O,B-qty,I-qty,O,O,O,O",altitude, <EOS>,['altitude']
Buses to Camberley operate every 15 minutes via Route 3,"O,O,B-ent,B-attr,O,B-qty,I-qty,O,O,O",buses operation time,buses operation time <EOS>,['operate']
Amfilochia is 45 km to the west,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance to the west,distance <EOS>,"['to', 'the', 'west']"
Groningen also would get 15 % of a future transfer fee received by Stuttgart,"B-ent,O,O,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr,I-attr",future transfer fee received by Stuttgart, <EOS>,"['a', 'future', 'transfer', 'fee', 'received', 'by', 'Stuttgart']"
Edwards made 19 league appearances for Luton Town in League One and scored four goals,"B-ent,B-attr,B-qty,I-qty,B-attr,O,O,O,O,O,O,O,O,O,O",made appearances, <EOS>,"['made', 'appearances']"
BBC Scotland also produces over 20 hours of comedy programmers for radio and television,"B-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O",produces comedy programmers, <EOS>,"['produces', 'comedy', 'programmers']"
However the BBC abandoned 3 D broadcasting following the 2013 Wimbledon tennis championships,"O,B-ent,I-ent,O,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
This move was estimated to save the BBC £85 million over the next five years,"O,B-ent,O,O,O,B-attr,O,O,B-qty,I-qty,O,O,O,O,O",amount save,amount <EOS>,['save']
The basin area of Prandi is 285 km²,"O,B-attr,I-attr,O,B-ent,O,B-qty,O",basin area, <EOS>,"['basin', 'area']"
"To the north , Mainz is about 50 km away","O,O,O,O,B-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
"The closest town , Lady Frere , was over 160 kilometers away","O,B-ent,I-ent,O,O,O,O,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
"Sudan Airways ordered two Boeing 707-320Cs in 1973 , for delivery in and","B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
""" Pyura pachydermatina "" has a lifespan of about one year","O,B-ent,I-ent,O,O,O,B-attr,O,O,B-qty,I-qty",lifespan, <EOS>,['lifespan']
Michigan center Archie Kodros played all 60 minutes for Michigan,"B-ent,I-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty,O,B-ent",played time for Michigan,time <EOS>,['played']
The LD in mice was less than 1 µg / kg,"O,B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,O,O",dose,dose <EOS>,[]
The Median lethal dose of the Cll1 toxin in mice is 85 μg / kg,"O,B-attr,I-attr,I-attr,O,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,O",median lethal dose,median <EOS>,"['Median', 'lethal', 'dose']"
"Padgha Padgha is a village , 6 km from Navsari Station","B-ent,I-ent,O,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from Navsari station,distance station <EOS>,"['from', 'Navsari', 'Station']"
"The largest tote turnover was at White City Greyhounds and reached £17,576,190","O,B-ent,I-ent,O,O,O,O,O,O,O,B-attr,B-qty",turnover reached, <EOS>,['reached']
The first Samoan Civil War lasted for eight years,"O,B-ent,I-ent,I-ent,I-ent,B-attr,O,B-qty,I-qty",duration lasted,duration <EOS>,['lasted']
Schwartz 's career with the Missouri Department of Conservation lasted for thirty - nine years,"B-ent,O,B-attr,O,O,O,O,O,O,I-attr,O,B-qty,I-qty,I-qty,I-qty",career lasted, <EOS>,"['career', 'lasted']"
"Cusop Castle is 200 yards from the church , formerly a fortified residence","B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,O,O,O,O,O",distance from the church,distance <EOS>,"['from', 'the', 'church']"
The average annual rainfall in Bokaro district is 1291.2 mm,"O,B-attr,I-attr,I-attr,O,B-ent,I-ent,O,B-qty,I-qty",average annual rainfall, <EOS>,"['average', 'annual', 'rainfall']"
"The biggest Vishap measured 4.75 m high , and 55 cm wide","B-ent,I-ent,I-ent,O,B-qty,I-qty,O,O,O,O,O,O",height,height <EOS>,[]
Grand Coulee Dam generates 21 TWh of electricity annually,"B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr",generates electricity annually, <EOS>,"['generates', 'electricity', 'annually']"
"Tiebaghi mine produced about 54,000 tons per year","B-ent,I-ent,B-attr,O,B-qty,I-qty,I-qty,I-qty",produced mass,mass <EOS>,['produced']
", Tübach had an unemployment rate of 1.06 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The French city of Bordeaux has 40 km of shared bus cycle lanes,"O,B-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty,B-attr,O,O,I-attr,I-attr",length of shared bus cycle lanes,length <EOS>,"['of', 'cycle', 'lanes']"
The journey between Tours and Bordeaux is shortened by around 50 minutes,"O,B-attr,I-attr,B-ent,O,O,O,B-attr,O,O,B-qty,I-qty",journey between tours shortened,tours <EOS>,"['journey', 'between', 'shortened']"
"Billie Jean King won £750 for taking the title , while Rod Laver took £2,000","O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,B-attr,B-qty",amount took,amount <EOS>,['took']
Lineth Chepkurui set an unofficial 12 km world record in the 2010 women 's race,"B-ent,I-ent,B-attr,O,O,B-qty,I-qty,B-attr,I-attr,O,O,O,O,O,O",set world record, <EOS>,"['set', 'world', 'record']"
"The nearest metro station , Baiyappanahalli metro station , is 4 km away","O,B-ent,I-ent,I-ent,O,O,I-ent,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
Gary Johnson got 2.97 % of the vote,"B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr",got  the vote, <EOS>,"['got', 'the', 'vote']"
Dallastown Area High School 's rate was 95 % for 2010,"B-ent,I-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O",rate, <EOS>,['rate']
Lucchini RS holds 60 % of LUR,"B-ent,I-ent,B-attr,B-qty,I-qty,O,I-attr",LUR share,share <EOS>,"['holds', 'LUR']"
Brennan dropped 28 pounds ( 2 stone ) to portray the featherweight boxer Howard Winstone,"B-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O",mass dropped,mass <EOS>,['dropped']
"This intercalary month , named Intercalaris or Mercedonius , contained 27 days","O,B-attr,I-attr,O,O,B-ent,O,O,O,B-attr,B-qty,I-qty",intercalary month contained, <EOS>,"['intercalary', 'month', 'contained']"
Sermeño played eight years for C.D. FAS in which he scored 29 goals,"B-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O",duration played,duration <EOS>,['played']
"One stage , between Nantes and Paris , was 471 km","O,O,O,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty",distance,distance <EOS>,[]
"The closest railway station is Beccles railway station , about 4 miles away","O,B-ent,I-ent,I-ent,O,O,I-ent,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
"As a team , Georgia Tech rushed for 452 yards , an Orange Bowl record","O,O,O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O",rushed yards, <EOS>,['rushed']
Georgia Tech 's offense rushed for 479 yards while the defense scored two defensive touchdowns,"B-ent,O,O,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O",rushed yards, <EOS>,['rushed']
"Kenji Kawai remixed the "" Version 2.0 "" soundtrack in surround sound","B-ent,I-ent,O,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
The gender pay gap in Laredo increased 25 percent between 2007 and 2012,"O,B-attr,I-attr,I-attr,O,B-ent,B-attr,B-qty,I-qty,O,O,O,O",gender pay gap increased, <EOS>,"['gender', 'pay', 'gap', 'increased']"
The area of Ervatão receives 70 % of all turtles nesting on Boa Vista,"O,B-attr,I-attr,B-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O",area, <EOS>,"['area', 'of', 'receives']"
Bandwan CD Block has an area of 351.25 km,"B-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
", Tenniken had an unemployment rate of 1.4 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Adilabad has an average elevation of 264 metres ( 866 feet ),"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O",average elevation, <EOS>,"['average', 'elevation']"
Vaso Čubrilović was sentenced to 16 years and Cvjetko Popović to 13 years,"B-ent,I-ent,O,B-attr,O,O,B-qty,O,O,O,O,I-qty,I-qty",duration sentenced,duration <EOS>,['sentenced']
The Wordsworth Trust bought the cottage for £650 in 1890,"B-ent,I-ent,I-ent,B-attr,O,I-attr,O,B-qty,O,O",bought cottage, <EOS>,"['bought', 'cottage']"
"John Virgo collected the £3,000 winners cheque , defeating Cliff Thorburn 13-7 in the final","B-ent,I-ent,B-attr,O,B-qty,B-attr,O,O,O,O,O,O,O,O,O",amount collected,amount <EOS>,"['collected', 'winners']"
"At one time , Enron owned 5.4 M shares of Rhythms NetConnections stock","O,O,O,O,B-ent,B-attr,B-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr",shares of Rhythms NetConnections stock, <EOS>,"['owned', 'shares', 'of', 'Rhythms', 'NetConnections', 'stock']"
Riga International Airport is only 18 km from central Jūrmala ( Majori ),"B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,O,O,O",distance from central Jūrmala,distance <EOS>,"['from', 'central', 'Jūrmala']"
Apple sold 4million iPhone 4 S phones in the first three days of availability,"B-ent,B-attr,O,O,B-qty,O,O,O,O,O,O,O,O,O",sold iphone,iphone <EOS>,['sold']
